Instance; Global Iterations; 2-Opt time; alpha value; Execution time; Result; Optimal distance; Gap
tsp1.txt;3; 1200.0; 0.3; 1293.11;571;564; 1.23%
tsp1.txt;1; 1723.2; 0.2; 1723.2; 732; 564; 7.72%
tsp1.txt; 1; 180.0; 0.1; 152.77; 579; 564; 2.59%
tsp1.txt; 3; 120.0; 0.5; 369.48; 1305; 564; 56.78%
